TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF OCT 07, 2013 (B)",Hulu : Online,47.8,0,0,0,47.8,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",Hulu Online & Hulu Plus Online : Combo,4.2,0,0,0,4.2,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",Hulu Plus : Online,763.2,0,363.8,379.9,19.5,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Hulu : Online,40,0,0,0,40,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Hulu Online & Hulu Plus Online : Combo,3.6,0,0,0,3.6,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Hulu Plus : Online,576.2,0,325.1,250.5,0.6,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Hulu : Online,40.1,0,0,0,40.1,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Hulu Online & Hulu Plus Online : Combo,4.1,0,0,0,4.1,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Hulu Plus : Online,624.1,0,369.8,253.9,0.3,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Hulu : Online,203.3,0,0,0,44.4,0,0,0,0,1.7,0,157.2
"WEEK OF OCT 28, 2013 (B)",Hulu Online & Hulu Plus Online : Combo,1.1,0,0,0,1.1,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Hulu Plus : Online,849.6,0,400.6,143.3,0.4,0,0,0,0,0,0,305.3
"WEEK OF OCT 28, 2013 (B)",Hulu-Wrong Mans : Online,101,0,0,0,0,0,0,0,0,0,0,101
"WEEK OF NOV 04, 2013 (B)",Hulu : Online,46.8,0,0,0,42.8,0,0,0,0,4,0,0
"WEEK OF NOV 04, 2013 (B)",Hulu Online & Hulu Plus Online : Combo,5.3,0,0,0,5.3,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",Hulu Plus : Online,985.9,430.8,402.3,152.6,0.2,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",Hulu : Online,39.4,0,0,0,35.4,0,0,0,0,4,0,0
"WEEK OF NOV 11, 2013 (B)",Hulu Online & Hulu Plus Online : Combo,3.8,0,0,0,3.8,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",Hulu Plus : Online,872.1,85.8,558,228,0.3,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",Hulu : Online,120.2,0,0,0,116.2,0,0,0,0,4,0,0
