,date,value,period,onediffvalue
0,Oct 07 2013,5514.573051610165,2013-10-07,
1,Oct 08 2013,5254.403171996673,2013-10-08,-260.1698796134915
2,Oct 09 2013,5501.185602898385,2013-10-09,246.78243090171145
3,Oct 10 2013,5651.847076706291,2013-10-10,150.66147380790608
4,Oct 11 2013,6173.72003671186,2013-10-11,521.8729600055694
5,Oct 12 2013,6738.064762443174,2013-10-12,564.3447257313137
6,Oct 13 2013,6663.136488800288,2013-10-13,-74.92827364288587
7,Oct 14 2013,5888.596026483528,2013-10-14,-774.5404623167606
8,Oct 15 2013,5196.951500857156,2013-10-15,-691.6445256263714
9,Oct 16 2013,5558.865136707048,2013-10-16,361.91363584989176
10,Oct 17 2013,5349.537398403667,2013-10-17,-209.327738303381
11,Oct 18 2013,5372.329300991044,2013-10-18,22.79190258737708
12,Oct 19 2013,6533.644005207199,2013-10-19,1161.3147042161554
13,Oct 20 2013,6014.398062514052,2013-10-20,-519.2459426931473
14,Oct 21 2013,5069.96699510049,2013-10-21,-944.4310674135622
15,Oct 22 2013,5121.983435932358,2013-10-22,52.01644083186784
16,Oct 23 2013,5329.557329682926,2013-10-23,207.57389375056846
17,Oct 24 2013,5329.568001916741,2013-10-24,0.010672233815057552
18,Oct 25 2013,6027.0935336222965,2013-10-25,697.5255317055553
19,Oct 26 2013,6455.003160186898,2013-10-26,427.90962656460124
20,Oct 27 2013,6296.628358205096,2013-10-27,-158.37480198180128
21,Oct 28 2013,5068.954449061892,2013-10-28,-1227.6739091432046
22,Oct 29 2013,5075.598864519725,2013-10-29,6.64441545783302
23,Oct 30 2013,5066.953599156389,2013-10-30,-8.645265363335966
24,Oct 31 2013,4965.379661462683,2013-10-31,-101.57393769370628
25,Nov 01 2013,5542.793782438574,2013-11-01,577.4141209758918
26,Nov 02 2013,6424.509205871325,2013-11-02,881.7154234327509
27,Nov 03 2013,6408.790420034941,2013-11-03,-15.718785836384086
28,Nov 04 2013,5069.50197732129,2013-11-04,-1339.2884427136514
29,Nov 05 2013,5395.801973196362,2013-11-05,326.29999587507245
30,Nov 06 2013,4891.420437247247,2013-11-06,-504.38153594911546
31,Nov 07 2013,5217.161133389237,2013-11-07,325.74069614199016
32,Nov 08 2013,5337.856977794557,2013-11-08,120.6958444053198
33,Nov 09 2013,6652.1669891695365,2013-11-09,1314.3100113749797
34,Nov 10 2013,6299.9009159949355,2013-11-10,-352.26607317460093
35,Nov 11 2013,5591.55270955765,2013-11-11,-708.3482064372856
36,Nov 12 2013,5214.630388768022,2013-11-12,-376.9223207896275
37,Nov 13 2013,5090.066215128206,2013-11-13,-124.56417363981654
38,Nov 14 2013,5250.449396752664,2013-11-14,160.3831816244583
